"query","search interest","increase percent"
"finance adalah",100,"0%"
"trade finance adalah",100,"-2%"
"trade finance bank",98,"20%"
"international trade finance",52,"20%"
"international trade",52,"20%"
"what is trade finance",36,"80%"
"international trade and finance",29,"70%"
"google finance",25,"40%"
"yahoo finance",23,"100%"
"trade finance company",21,"50%"
"bni",18,"50%"
"trade finance bni",18,"4%"
"trade finance singapore",14,"120%"
"trade artinya",13,"40%"
"trade finance products",13,"50%"
"trade finance officer",11,"20%"
"emerging markets finance and trade",10,"60%"
"linkedin",9,"170%"
"go trade",8,"Breakout"
"structured trade finance",7,"-40%"
"produk trade finance bni",7,"60%"
"trade finance providers",3,"30%"
"pendiri bank bni",3,"Breakout"
"trade finance hong kong",3,"Breakout"
"product trade finance bank bni",3,"Breakout"
"trade off theory",2,"Breakout"
"lotte world tower",2,"Breakout"
"guangzhou ctf finance centre",2,"Breakout"
"one world trade center",2,"-40%"
"trade and commodity finance masterclass training",0,"-100%"
