"query","search interest","increase percent"
"commercial banking",5,"300%"
"ocbc",9,"180%"
"ocbc corporate banking",9,"170%"
"sinarmas",8,"160%"
"what is corporate banking",2,"140%"
"bizchannel",5,"90%"
"cimb bizchannel corporate banking",4,"80%"
"corporate adalah",11,"70%"
"bjb corporate",21,"60%"
"bjb",21,"50%"
"bjb internet banking corporate",17,"50%"
"internet banking corporate bjb",17,"50%"
"bjb internet banking",17,"50%"
"linkedin",1,"40%"
"internet banking",100,"20%"
"corporate internet banking",94,"9%"
"bca",7,"6%"
"bank mandiri",6,"6%"
"cimb",21,"6%"
"jatim corporate",18,"5%"
"icici corporate banking",1,"-3%"
"bank jatim corporate",15,"-5%"
"corporate bank jatim",15,"-5%"
"bank jatim",15,"-5%"
"internet banking bank jatim",14,"-5%"
"internet banking bank jatim corporate",14,"-7%"
"mandiri",14,"-10%"
"internet banking bca",3,"-10%"
"bca internet banking",3,"-20%"
"dbs corporate banking",1,"-50%"
"mandiri internet banking",4,"-50%"
"mandiri internet banking corporate",4,"-50%"
"bni",8,"-70%"
