"query","search interest","increase percent"
"supply chain management",14,"Breakout"
"wealth management adalah",14,"Breakout"
"target pasar wealth management",10,"Breakout"
"treasury tower",8,"Breakout"
"legal and compliance",6,"Breakout"
"prinsip pemutusan kredit",6,"Breakout"
"target pasar dalam pelayanan wealth management adalah",6,"Breakout"
"syarat penting agunan kredit",5,"Breakout"
"pasiva adalah",5,"Breakout"
"yang termasuk lembaga keuangan bank",4,"Breakout"
"kegiatan unit kerja treasury bertanggung jawab dalam",4,"Breakout"
"kyriba treasury management system",1,"Breakout"
"aktivitas treasury",10,"250%"
"risk management adalah",22,"250%"
"apa itu treasury",17,"200%"
"treasury and cash management",22,"110%"
"sap treasury and risk management",5,"100%"
"treasury adalah",100,"90%"
"risk management",62,"90%"
"treasury management system",34,"60%"
"treasury management course",7,"30%"
