"query","search interest","increase percent"
"underwriter adalah",100,"-20%"
"underwriter ipo",73,"80%"
"ipo",73,"80%"
"ipo underwriter",72,"80%"
"underwriter saham adalah",27,"30%"
"saham adalah",27,"20%"
"apa itu underwriter",21,"20%"
"underwriting",17,"-20%"
"emiten",16,"-20%"
"tugas underwriter",16,"-40%"
"ipo adalah",12,"60%"
"underwriter insurance",12,"-20%"
"insurance underwriter",12,"-30%"
"pengertian underwriter",7,"-70%"
"idx",7,"40%"
"underwriter goto",6,"Breakout"
"underwriter cdia",6,"Breakout"
"trimegah",6,"Breakout"
"underwriter emas",5,"Breakout"
"junior underwriter",5,"80%"
"what is underwriter",5,"-8%"
"field underwriter",5,"-40%"
"moral hazard",5,"0%"
"penjamin emisi efek",5,"-30%"
"underwriter coin",4,"Breakout"
"eipo",4,"500%"
"underwriter ai",4,"Breakout"
"e ipo",4,"Breakout"
"analyst underwriter",4,"350%"
"ciptadana sekuritas",4,"Breakout"
"underwriter rlco",3,"Breakout"
"trimegah sekuritas",3,"Breakout"
"underwriter meaning",3,"6%"
"bei",3,"60%"
"underwriter supa",3,"Breakout"
"stockbit",3,"Breakout"
"underwriter bukalapak",3,"130%"
"junior underwriter adalah",3,"350%"
"underwriter ipo emas",2,"Breakout"
"underwriter wirg",2,"Breakout"
"underwriter pjhb",2,"Breakout"
"e-ipo",2,"Breakout"
"analyst underwriter adalah",2,"Breakout"
"underwriter pmui",2,"Breakout"
"tradingview",1,"Breakout"
"staff underwriter ru",1,"Breakout"
"pt asuransi jasa indonesia",1,"Breakout"
