"query","search interest","increase percent"
"industrial robotic automation",100,"130%"
"pt industrial robotic automation",62,"190%"
"industrial automation pdf",41,"80%"
"industrial automation news",38,"1,250%"
"industrial automation systems",32,"140%"
"industrial automation engineering",28,"70%"
"industrial automation in india",21,"250%"
"industrial automation companies",20,"20%"
"industrial automation and robotics",15,"Breakout"
"industrial automation control system",15,"100%"
"industrial automation solutions",12,"100%"
"industrial automation course",10,"90%"
"omron industrial automation",10,"-30%"
"emerson industrial automation",5,"30%"
"industrial automation contractor",5,"Breakout"
"industrial automation in jaipur",2,"Breakout"
