"query","search interest","increase percent"
"the",100,"150%"
"vocational education and training",95,"-1%"
"what is vocational training",54,"350%"
"technical and vocational education training",23,"-20%"
"technical and vocational education and training",22,"-20%"
"technical vocational education and training",21,"-30%"
"vocational high school",19,"250%"
"vocational training programs",16,"200%"
"journal of vocational education and training",12,"-10%"
"vocational training meaning",12,"Breakout"
"vocational training benefits",9,"170%"
"importance of vocational training",6,"110%"
"vocational education and training australia",5,"120%"
"free vocational training for international students",0,"-100%"
